home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,dk_spread_home,fd_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Florida,Tennessee,-0.555241271095638,0.42927687366803485,0.6288200716177622,54.44674,6,6,6.2,16.3,,,0,4.0,4.0,3.5,3.444758728904362,0.01,170.0,0.37037037037037035,0.0589065032976645,0.01,57.5,-3.0532608032226562,0.01
SMU,Louisville,1.4761995262237804,0.7119952837626139,0.49926961461702984,49.194244,13,7,10.9,12.2,,,0,-3.0,-3.0,-2.5,-1.5238004737762196,0.007619002368881098,-155.0,0.6078431372549019,0.10415214650771198,0.01,51.5,-2.305755615234375,0.01
Northwestern,Minnesota,6.968616420418822,0.7040371100107828,0.5797524352868398,50.13577,6,7,1.7,3.5,,,0,-4.0,-4.0,-3.5,2.9686164204188223,0.01,-180.0,0.6428571428571429,0.061179967153639936,0.01,39.5,10.63576889038086,0.0
Penn State,Nebraska,2.8794991687645055,0.5562954147656759,0.37563636898994446,50.327366,6,13,15.0,12.3,,,0,-8.5,-8.5,-8.5,-5.6205008312354945,0.01,-305.0,0.7530864197530864,-0.19679100498741053,0.0,45.5,4.827365875244141,0.01
Utah,Kansas State,12.552962863186771,0.9697964390118917,0.8214957316716512,54.95016,6,6,21.5,7.9,,,0,-17.5,-17.5,-17.5,-4.947037136813229,0.01,-850.0,0.8947368421052632,0.07505959690662856,0.01,52.5,2.4501609802246094,0.01
Texas,Arkansas,9.244644554202475,0.535750557978948,0.42840811610221863,54.2449,6,6,18.3,9.3,,,0,-8.5,-8.5,-8.5,0.7446445542024751,0.0037232227710123755,-340.0,0.7727272727272727,-0.2369767147483247,0.0,58.5,-4.255100250244141,0.01
Rice,North Texas,-24.322399843912994,0.013513512909412384,0.21464484433333078,56.154785,13,6,-12.3,11.8,,,0,17.5,17.5,18.5,-6.822399843912994,0.01,625.0,0.13793103448275862,-0.12441752157334623,0.0,55.5,0.65478515625,0.00327392578125
Boise State,Colorado State,18.942200229957727,0.9427765210469564,0.7627793947855631,45.75912,6,6,4.6,-13.8,,,0,-17.5,-17.5,-16.5,1.4422002299577272,0.007211001149788636,-850.0,0.8947368421052632,0.048039678941693253,0.01,45.5,0.2591209411621094,0.0012956047058105468
San Diego State,San José State,8.730273611873052,0.7665471235911051,0.5823347866535187,52.048355,6,6,3.7,-7.4,,,0,-12.5,-12.5,-12.5,-3.769726388126948,0.01,-535.0,0.84251968503937,-0.07597256144826492,0.0,50.5,1.5483551025390625,0.007741775512695313
Virginia Tech,Miami,-14.833026244293137,0.08875573178132375,0.1501333142320315,48.164196,6,6,-4.0,18.3,,,0,18.5,18.5,18.5,3.666973755706863,0.01,650.0,0.13333333333333333,-0.044577601552009585,0.0,48.5,-0.3358039855957031,0.0016790199279785156
