home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total
Lincoln (CA),College of Idaho,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Georgia Tech,Florida State,-8.230967694372763,0.7580634752909342,0.5643761058648428,54.901833
Tarleton State,McNeese,15.159910411522027,0.7443779905637106,0.4909557004769643,61.733475
New Mexico,Montana State,-10.746313223314445,0.30292727549870807,0.4934493104616801,54.477295
Southeast Missouri State,North Alabama,6.160372950401568,0.7196581363677979,0.4644183814525604,58.99642
Norfolk State,Florida A&M,-16.198353368762817,0.257913276553154,0.4286193748315175,49.10854
Nevada,SMU,-27.29248362075765,0.013131313646833101,0.5082781116167704,55.642334
Hawai'i,Delaware State,40.67691382853322,1.0,0.5576949318250021,59.234726
Sul Ross State,West Texas A&M,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Villanova,Youngstown State,11.159910411522027,0.7342543999354044,0.4909557004769643,55.24204
Rutgers,Howard,42.37759741505889,0.996666669845581,0.6019919812679291,55.579636
Morehead State,Central State (OH),10.49552551985033,0.7579431931177775,0.4909557004769643,53.023544
Carson-Newman College,Reinhardt University,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Northern Michigan,Minnesota Duluth,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Edinboro University,East Stroudsburg University,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Minot State,Valley City State,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Northwest Missouri St,Minnesota State Mankato,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Millersville,Clarion,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Mars Hill,Delta State,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Wayne State (NE),Missouri S&T,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Bemidji State,Michigan Tech,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
UL Monroe,Jackson State,4.645781388424803,0.719614585240682,0.5038771629333496,50.219948
Wheeling,Mercyhurst,1.9927900622993537,0.5528450508912405,0.4346381624539693,52.27885
UCF,New Hampshire,47.336404789816726,0.9952601989110311,0.7221007744471232,60.495064
West Liberty,Walsh,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
NC State,Western Carolina,33.55342605931771,0.9769885937372843,0.5279940664768219,60.875233
Wake Forest,North Carolina A&T,29.505817060645274,0.9754115343093872,0.6001500089963278,53.778618
Mercer,Presbyterian,30.941669913006834,0.985116183757782,0.5907383362452189,48.398144
William & Mary,VMI,20.941669913006834,0.9528533220291138,0.5907383362452189,45.414196
Delaware,Bryant,21.02015022903097,0.985116183757782,0.5667122999827067,53.37718
University of Mary,Jamestown College,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Buffalo,Lafayette,7.017340696477179,0.9736712574958801,0.5926974614461263,49.949898
Bowling Green,Fordham,20.49025010680552,0.9605289300282797,0.6303133368492126,61.907642
Northeastern State,Missouri Western,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Gardner-Webb,Wofford,3.129173677161806,0.6393908858299255,0.4901384512583415,47.813316
Central Michigan,Central Connecticut,34.595899204938995,0.960939904054006,0.5291207929452261,56.21388
Fairmont State,Seton Hill,3.9046440714407513,0.6026875178019205,0.4669119914372762,52.542492
Toledo,Duquesne,30.67239252257526,0.9769885937372843,0.5837486386299133,54.316345
Drake,Quincy,10.49552551985033,0.7579431931177775,0.4909557004769643,53.023544
