home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Akron,Massachusetts,-5.957400480906169,0.9255286057790121,57.66525,12.5,-18.45740048090617,0.0,-485.0,0.8290598290598291,0.09646877671918297,0.01,51.5,6.165248870849609,0.01
Ohio,Miami (OH),-1.5891546408335373,0.6135110457738241,62.755875,2.5,-4.089154640833537,0.01,-148.0,0.5967741935483871,0.01673685222543697,0.01,50.5,12.255874633789062,0.0
Toledo,Northern Illinois,-5.204994797706604,0.8717853426933289,52.7648,15.5,-20.704994797706604,0.0,-650.0,0.8666666666666667,0.005118676026662161,0.01,42.0,10.764801025390625,0.0
Ball State,Kent State,0.5308958292007446,0.46207886934280396,53.45981,3.0,-2.4691041707992554,0.01,-155.0,0.6078431372549019,-0.14576426791209796,0.0,48.5,4.959808349609375,0.01
App State,Georgia Southern,1.5805166761080423,0.3871059517065684,44.594707,4.5,-2.9194833238919577,0.01,-198.0,0.6644295302013423,-0.2773235784947739,0.0,61.5,-16.905292510986328,0.0
South Florida,UTSA,-5.342879295349121,0.8816342353820801,55.99988,14.0,-19.34287929534912,0.0,-600.0,0.8571428571428571,0.024491378239222983,0.01,66.5,-10.500118255615234,0.0
Morgan State,Delaware State,-0.8384593327840164,0.5598899523417155,51.236076,-3.5,2.6615406672159834,0.01,,,,0.0,54.5,-3.2639236450195312,0.01
Columbia,Harvard,-0.2922674814860031,0.5208762486775717,53.03434,-29.5,29.207732518513996,0.0,,,,0.0,48.5,4.534339904785156,0.01
UCF,Houston,-0.2943343122800186,0.5210238794485728,73.45098,1.5,-1.7943343122800186,0.008971671561400094,-115.0,0.5348837209302325,-0.013859841481659751,0.0,47.5,25.95098114013672,0.0
Memphis,Tulane,-3.249160647392273,0.7320829033851624,57.209938,3.0,-6.249160647392273,0.01,-155.0,0.6078431372549019,0.12423976613026044,0.01,53.5,3.7099380493164062,0.01
USC,Northwestern,-2.3971398671468096,0.6712242762247721,61.127293,14.5,-16.89713986714681,0.0,-650.0,0.8666666666666667,-0.1954423904418946,0.0,54.5,6.627292633056641,0.01
Buffalo State,St. Lawrence,-0.2922674814860031,0.5208762486775717,53.03434,,,0.0,,,,0.0,,,0.0
Robert Morris,Wagner,-0.901922345161438,0.5644230246543884,53.094242,2.5,-3.401922345161438,0.01,,,,0.0,37.5,15.594242095947266,0.0
Mass Maritime,Worcester St,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Albright,Stevenson,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Olivet College,Albion,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Maine Maritime,Western New England,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Springfield,Coast Guard,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Merchant Marine Academy,Worcester Polytechnic Institute,-0.9829772710800171,0.5702126622200012,52.571262,,,0.0,,,,0.0,,,0.0
Johns Hopkins University,McDaniel College,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Susquehanna,Wilkes,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Edinboro University,Slippery Rock,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Carnegie Mellon,Franklin & Marshall,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Clarion,Indiana-Pennsylvania,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Penn State,Indiana,4.962608297665914,0.14552797873814902,57.06927,-14.0,18.962608297665913,0.0,410.0,0.19607843137254902,-0.0505504526344,0.0,50.5,6.569271087646484,0.01
Norwich,Salve Regina,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Boston College,SMU,3.7220550378163653,0.2341389258702596,65.359726,-10.5,14.222055037816364,0.0,330.0,0.23255813953488372,0.0015807863353758944,0.0020598124976110225,54.5,10.859725952148438,0.0
Walsh,Hillsdale,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Amherst,Williams,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Northwood (MI),Tiffin,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Bates,Hamilton,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Thomas More College,Ohio Dominican,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
