season,week,n_games,ats_brier,ats_log_loss,ats_hit_rate,ats_n_samples,ml_brier,ml_log_loss,ml_roc_auc,ml_hit_rate,ml_n_samples,total_mae,total_mae_vs_market,total_correlation,total_n_samples
2025,2,313,0.19579081542625598,0.5787879657503812,0.7058823529411765,119,0.18919496385193818,0.5392292701972579,0.729574098218166,0.6645367412140575,313,13.95832771081894,1.9966820147858948,0.9028037819072815,313
2025,3,296,0.19731347055292556,0.5821536304471556,0.7407407407407407,108,0.1805333348746751,0.5215835875228415,0.7512886597938145,0.7027027027027027,296,13.5307027069298,1.991972358138473,0.8870452507368791,296
2025,4,300,0.2126688281503673,0.6131050905038363,0.6822429906542056,107,0.1925432393628438,0.5506420253166897,0.7301897956397069,0.6533333333333333,300,13.728973274230958,1.8494703702837507,0.9288001407760551,300
2025,5,267,0.2157250358939621,0.62125836509358,0.660377358490566,106,0.18133125308187886,0.5316440648810109,0.8014414923685698,0.7078651685393258,267,13.159747277306261,2.028432810081626,0.8860854318550203,267
2025,6,292,0.23687222895763302,0.6680441191797977,0.6,95,0.19116454664350271,0.5565633056615383,0.7676898068464334,0.6678082191780822,292,12.765145367139006,2.229760902806332,0.8895589147155012,292
2025,7,287,0.19278623306956796,0.5720543520331406,0.7570093457943925,107,0.14994345198987416,0.4590179330791558,0.872909780283881,0.7839721254355401,287,12.496121595960876,1.8915287593625627,0.928599325080669,287
2025,8,295,0.19342403047899842,0.5729250751162459,0.7592592592592593,108,0.16416374838559022,0.49198593571704863,0.8374125874125874,0.7593220338983051,295,13.032625903113413,2.110056029425727,0.9218495715587058,295
2025,9,307,0.22360690799563682,0.6371498541395907,0.6071428571428571,112,0.14269347159600687,0.4381867993207627,0.8837412587412588,0.8045602605863192,307,13.308496531135484,1.9449765985662286,0.9224574610658937,307
2025,10,304,0.19747635989919698,0.583346003350304,0.7545454545454545,110,0.13947181403258246,0.4322564700262624,0.8874863745367343,0.7993421052631579,304,12.757993371863114,1.9988386674360796,0.9138556060187616,304
2025,11,309,0.22279734121176858,0.6368370171735049,0.6637168141592921,113,0.16273934018680597,0.4993370579833293,0.843202861952862,0.7766990291262136,309,13.043277394810154,1.7476212155502455,0.9307507903671307,309
2025,12,304,0.25187373685828873,0.6974349646662196,0.5213675213675214,117,0.1858996253217501,0.557037528738643,0.815341774354958,0.7236842105263158,304,19.467366946370976,1.9696985880533855,0.9354304156667179,304
2025,13,124,0.27746588762303176,0.7616237687915219,0.6666666666666666,15,0.43351759206939633,0.0,0.0,0.3709677419354839,124,51.253607996048466,1.4911088943481445,0.7585588728563285,124
2025,14,70,0.21186034649822388,0.6215163894189926,0.7777777777777778,9,0.34804105124554113,0.0,0.0,0.4714285714285714,70,51.07168175833566,2.0252147250705295,0.8888248804262964,70
2025,16,1,0.2888859535344917,0.0,0.0,1,0.46173713068750677,0.0,0.0,0.0,1,48.562164306640625,9.062164306640625,0.0,1
