home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total
Kansas State,Iowa State,1.9747774582275146,0.4670456449190776,0.47275424003601074,50.977627
Nicholls,Incarnate Word,-17.30993828112106,0.4908149341742198,0.39974936842918396,49.584408
UNLV,Idaho State,28.424037913211844,0.9790239532788595,0.44496314724286395,62.666954
Portland State,Tarleton State,-17.58742821463351,0.009797973247865835,0.48438066244125366,58.612186
Kansas,Fresno State,14.829811821800963,0.8443434039751688,0.5236323773860931,51.209785
Western Kentucky,Sam Houston,10.575611693386653,0.8791214823722839,0.5357110897699991,59.7815
Southern,North Carolina Central,-19.27244275670731,0.009797973247865835,0.27933117747306824,47.10683
Hawai'i,Stanford,1.2478957480987443,0.6115068991978964,0.49226394295692444,51.021202
Central Washington,Colorado Mesa,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
South Florida,Boise State,-3.70032545943681,0.7230279843012491,0.551142414410909,60.62621
Youngstown State,Mercyhurst,24.259285433950584,0.9839755495389303,0.5068956514199575,59.43324
Rutgers,Ohio,12.67361712892979,0.6776988903681437,0.4200035134951274,53.424114
Saginaw Valley State,Northeastern State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Clarion,Wheeling,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Michigan Tech,Bemidji State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Bowling Green,Lafayette,18.491584292019702,0.8256004254023234,0.4270481566588084,54.074368
Marian College,Indianapolis,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Delta State,Central Missouri,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Wilson,Virginia St,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Minnesota State Mankato,Northwest Missouri St,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
NC State,East Carolina,11.444716716776641,0.6078302264213562,0.445507933696111,59.748547
Ferris State,Pittsburg St,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Walsh,West Liberty,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Seton Hill,Fairmont State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
St. Thomas (MN),Lindenwood,-8.0992104025432,0.8017575542132059,0.45754759510358173,49.78774
Norfolk State,Towson,-13.481011868992546,0.1389139716823896,0.36991916100184125,47.079723
Delaware,Delaware State,26.75348023694716,0.96572345495224,0.4013833900292714,56.505352
Wayne State (NE),Nebraska-Kearney,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Eastern Illinois,Dayton,6.90072082660715,0.5030973851680756,0.4312135974566142,47.29255
Indiana State,McKendree,12.247208340332364,0.7928873300552368,0.4878699978192647,52.257515
UL Monroe,St. Francis (PA),33.719034548487784,0.9859421253204346,0.5784522891044617,50.948196
UCF,Jacksonville State,22.630776792488106,0.8459696173667908,0.5650973916053772,53.730595
Akron,Wyoming,-4.990725778379632,0.32607802748680115,0.5002642770608267,49.785637
Northern Michigan,Minnesota State Moorhead,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
University Of Charleston (WV),Livingstone,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
East Stroudsburg University,Edinboro University,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Drake,Upper Iowa University,12.247208340332364,0.7928873300552368,0.4878699978192647,52.257515
Duke,Elon,37.389084094786746,0.991614818572998,0.5236323773860931,54.652596
Houston Christian,Little Rock,12.4118862177984,0.7960115472475687,0.48210984468460083,52.06442
Quincy,Concordia University St Paul,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Missouri,Central Arkansas,41.93145376194458,0.9965899387995402,0.577471931775411,57.41289
Samford,West Georgia,5.195726636911857,0.031939820696910225,0.4653550088405609,53.618683
Oklahoma State,UT Martin,25.559470450739827,0.9547674854596456,0.48828529318173725,57.052425
University of Mary,Midland Lutheran College,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Northwestern State,Alcorn State,-14.24651976305284,0.3038155138492584,0.4013833900292714,47.280518
Western Colorado,West Texas A&M,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Houston,Stephen F. Austin,25.596129015721715,0.9859421253204346,0.5423709154129028,55.209274
Emporia State University,Minot State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Black Hills State,Sioux Falls,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Winona State,Minnesota Duluth,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Minnesota,Buffalo,16.42249433692581,0.8094186584154764,0.49779141942660016,47.48196
Fort Hays State,Angelo State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
CSU Pueblo,South Dakota Mines,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Eastern New Mexico,New Mexico Highlands,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
UAB,Alabama State,17.278084080793544,0.8133477568626404,0.3955839276313782,54.23113
Wisconsin,Miami (OH),12.5131101282041,0.6000126798947653,0.3572598993778229,47.4978
Cincinnati,Nebraska,-2.6311669238401563,0.6401430567105612,0.5888504385948181,51.33041
San Diego State,Stony Brook,20.140801431269228,0.9859421253204346,0.5170376698176066,53.893703
Army,Tarleton State,10.008825824015851,0.6589430371920267,0.3886861801147461,49.54684
Rhode Island,Campbell,15.124803476358817,0.969183087348938,0.5954756935437521,54.973297
Florida International,Bethune-Cookman,29.887818533973334,0.9836050669352213,0.589342733224233,55.22283
Marist,New Haven,-5.099210402543201,0.6776988903681437,0.45754759510358173,47.306175
Colgate,Monmouth,-17.4305868716793,0.22613931198914847,0.4225506881872813,61.630013
West Florida,Lenoir-Rhyne,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Michigan State,Western Michigan,14.252836581142207,0.767011304696401,0.3144966661930084,49.926647
Charlotte,App State,-10.913115939551577,0.2506812959909439,0.42636969685554504,52.182163
Wake Forest,Kennesaw State,13.399679083491968,0.6340945661067963,0.3578137755393982,51.45669
Kansas,Wagner,46.89382379391352,0.9965899387995402,0.5237582127253214,62.03121
Illinois,Western Illinois,54.962185702166124,0.991614818572998,0.6666976014773051,65.36589
Baylor,Auburn,-0.7407145660494165,0.36602285504341125,0.5068956514199575,56.31435
Colorado,Georgia Tech,-4.603221636624948,0.3318675259749095,0.4661850730578105,51.514935
Sam Houston,UNLV,-11.07942333871428,0.08562684928377469,0.4312135974566142,60.803337
San José State,Central Michigan,8.905744839790097,0.6689874728520712,0.3545927007993062,51.20351
Glenville State,Emory & Henry College,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Maryland,Florida Atlantic,15.43443809039372,0.8740660548210144,0.559145430723826,58.7822
Southern Miss,Mississippi State,-15.062259261736289,0.2104452351729075,0.48398223519325256,59.098064
Pittsburgh,Duquesne,42.11578227082512,0.9965899387995402,0.5757576326529185,61.93219
Shorter,Anderson (Sc),3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Tulane,Northwestern,5.0990175561664755,0.6198074618975321,0.46279336015383404,48.804302
Purdue,Ball State,19.16960637985389,0.9332238634427389,0.5813523530960083,49.459637
Navy,VMI,43.139084094786746,0.991614818572998,0.5236323773860931,61.069363
The Citadel,North Dakota State,-25.188605329035713,0.046552604995667934,0.33709248900413513,52.119404
Kent State,Merrimack,5.187488823503401,0.9625568588574728,0.4916890064875285,51.58613
Lehigh,Richmond,30.183541326480974,0.9779024720191956,0.5397852659225464,51.936832
Gannon,Davenport,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
