home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Duquesne,Robert Morris,-0.901922345161438,0.5644230246543884,53.094242,4.5,-5.401922345161438,0.01,,,,0.0,52.5,0.5942420959472656,0.002971210479736328
Cincinnati,West Virginia,2.655522366364797,0.31031983097394306,54.54757,5.5,-2.844477633635203,0.01,-205.0,0.6721311475409836,-0.3618113165670405,0.0,54.5,0.04756927490234375,0.00023784637451171876
Georgia Tech,Miami,4.994528671105702,0.1432479520638784,53.658775,-9.5,14.494528671105702,0.0,280.0,0.2631578947368421,-0.1199099426729637,0.0,65.0,-11.341224670410156,0.0
Boston College,Syracuse,-1.5037513176600144,0.6074108084042867,58.482994,3.0,-4.503751317660014,0.01,-145.0,0.5918367346938775,0.015574073710409198,0.01,52.0,6.482994079589844,0.01
Ohio State,Purdue,-7.0,1.0,65.15926,37.5,-44.5,0.0,,,,0.0,55.5,9.659263610839844,0.01
Keystone,Juniata College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Trinity (CT),Wesleyan University (CT),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Greensboro College,Maryville College (TN),-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Hamilton,Bates,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
FDU-Florham,Widener,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Norwich,MIT,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Williams,Amherst,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Brockport,Cortland,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Misericordia,Stevenson,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Delaware Valley,Eastern University,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Northwestern (MN),Greenville,-0.2922674814860031,0.5208762486775717,53.03434,,,0.0,,,,0.0,,,0.0
UL Monroe,Texas State,5.4204545716444645,0.11282467345396678,57.30073,-9.5,14.920454571644465,0.0,280.0,0.2631578947368421,-0.1503332212828753,0.0,50.0,7.300731658935547,0.01
South Florida,Navy,-1.3689504464467361,0.5977821747461954,56.279575,-4.5,3.1310495535532636,0.01,155.0,0.39215686274509803,0.2056253120010974,0.01,58.5,-2.2204246520996094,0.01
Rutgers,Minnesota,-2.50927193959554,0.67923370997111,66.323364,-6.5,3.99072806040446,0.01,190.0,0.3448275862068966,0.3344061237642134,0.01,44.5,21.8233642578125,0.0
Western Connecticut St,Framingham State,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Southwest Minnesota State,Winona State,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Hiram College,Depauw,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Kutztown University,West Chester,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Carnegie Mellon,Allegheny,-0.8384593327840164,0.5598899523417155,54.436417,,,0.0,,,,0.0,,,0.0
Union (NY),University of Rochester (NY),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Tufts,Middlebury,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Westminster College (MO),Minnesota Morris,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Wittenberg,Wabash College,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
William & Mary,Elon,-0.901922345161438,0.5644230246543884,53.094242,7.5,-8.401922345161438,0.0,,,,0.0,49.5,3.5942420959472656,0.01
Delaware,Rhode Island,-1.3467202981313064,0.596194307009379,52.78669,6.0,-7.346720298131307,0.0,,,,0.0,54.5,-1.7133102416992188,0.008566551208496094
Stonehill,Central Connecticut,-0.901922345161438,0.5644230246543884,53.094242,-15.0,14.098077654838562,0.0,,,,0.0,52.5,0.5942420959472656,0.002971210479736328
Towson,Hampton,-0.901922345161438,0.5644230246543884,53.094242,5.5,-6.401922345161438,0.01,,,,0.0,55.5,-2.4057579040527344,0.01
Davidson,Morehead State,-0.8384593327840164,0.5598899523417155,52.998257,7.0,-7.838459332784017,0.0,,,,0.0,55.5,-2.5017433166503906,0.01
Bucknell,Fordham,-0.901922345161438,0.5644230246543884,53.094242,3.0,-3.901922345161438,0.01,,,,0.0,55.5,-2.4057579040527344,0.01
Colgate,Lafayette,-0.901922345161438,0.5644230246543884,53.094242,-3.5,2.598077654838562,0.01,,,,0.0,50.5,2.5942420959472656,0.01
Luther,Buena Vista,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Hillsdale,Tiffin,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Concordia-Wisconsin,Concordia University Chicago,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Lincoln (MO),Lane College,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Rowan,Kean,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Ferris State,Saginaw Valley State,-5.954551339149475,0.9253250956535339,57.092045,,,0.0,,,,0.0,,,0.0
Salisbury,McDaniel College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Wayne State (MI),Roosevelt,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Emory & Henry College,UVA Wise,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Morehouse College,Clark Atlanta,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Kenyon,Ohio Wesleyan,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Central State (OH),Kentucky State,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Chowan,ERSKINE,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Rockford,Wisconsin-Lutheran,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
