home_team,away_team,fair_spread_home,p_home_win,fair_total
Portland State,Northern Colorado,-0.901922345161438,0.5644230246543884,53.094242
Mississippi State,Missouri,4.962608297665914,0.14552797873814902,51.847084
Tennessee State,Southeast Missouri State,-0.901922345161438,0.5644230246543884,53.094242
Louisiana,Troy,-5.759429494539897,0.9113878210385641,62.762253
Sacramento State,UC Davis,-0.7886278629302979,0.5563305616378784,53.130325
Idaho State,Idaho,-0.7886278629302979,0.5563305616378784,53.130325
Notre Dame,Army,-5.981960455576579,0.9272828896840414,60.90529
Wyoming,Boise State,5.289968006312847,0.1221451424062252,63.19706
Houston,Baylor,4.153402388095856,0.20332840085029602,57.24541
Oregon State,Washington State,2.1613940397898355,0.3456147114435832,59.626186
Texas State,Georgia State,-5.911128838857015,0.9222234884897867,55.806263
Utah,Iowa State,2.199126183986664,0.34291955828666687,57.233578
Old Dominion,Marshall,0.5524880290031433,0.46053656935691833,60.927086
Auburn,Texas A&M,4.048368901014328,0.21083079278469086,56.81538
Oklahoma,Alabama,5.01754363377889,0.14160402615865073,81.49068
LSU,Vanderbilt,-3.1327424844106035,0.7237673203150431,58.261795
Kansas State,Cincinnati,-6.185819427172343,0.9418442447980245,58.33804
Duke,Virginia Tech,0.8467662930488586,0.43951669335365295,70.6728
McNeese,Lamar,-0.901922345161438,0.5644230246543884,53.094242
UCLA,USC,4.536867926518123,0.17593800524870554,45.24964
Fresno State,Colorado State,-3.4291898012161255,0.7449421286582947,54.59671
Nevada,Air Force,0.11020056406656875,0.49212853113810223,43.50886
