home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Duke,Virginia,-0.7243342084229463,0.5066966315110525,0.33908719817797345,62.059086,7,6,6.8,7.6,,,0,5.5,-6.224334208422946,0.01,-218.0,0.6855345911949685,-0.17883795968391603,0.0,60.0,2.0590858459472656,0.01
Nevada,San José State,-7.941419815753961,0.35063478350639343,0.5477151672045389,49.03485,6,6,-18.5,-7.4,,,0,-9.5,1.558580184246039,0.007792900921230195,295.0,0.25316455696202533,0.0974702265443681,0.01,49.5,-0.46514892578125,0.0023257446289062502
James Madison,App State,21.61107140307744,0.9859421253204346,0.520306408405304,54.007183,7,8,9.9,-10.2,,,0,21.0,0.6110714030774389,0.0030553570153871944,-1800.0,0.9473684210526315,0.038573704267803044,0.01,53.5,0.5071830749511719,0.0025359153747558593
UL Monroe,South Alabama,1.7695287815942438,0.47294408082962036,0.6598703066507975,48.738956,14,14,-19.8,-12.9,,,0,-4.0,5.769528781594244,0.01,160.0,0.38461538461538464,0.08832869621423572,0.01,49.5,-0.7610435485839844,0.003805217742919922
Southern Miss,Texas State,5.2567328428063576,0.620483915011088,0.5640301704406738,65.85491,7,6,-1.4,-6.7,,,0,3.0,2.2567328428063576,0.01,-162.0,0.6183206106870229,0.002163304324065085,0.005667857329050598,65.5,0.35491180419921875,0.0017745590209960937
Tulane,Florida Atlantic,20.365141309308285,0.9704824090003967,0.6168883442878723,61.589813,7,7,2.4,-8.5,,,0,16.5,3.865141309308285,0.01,-800.0,0.8888888888888888,0.08159352011150789,0.01,60.5,1.089813232421875,0.005449066162109375
East Carolina,Memphis,0.6438021657489634,0.6402416030565897,0.43759095668792725,57.388676,7,7,7.6,11.0,,,0,3.0,-2.3561978342510366,0.01,-148.0,0.5967741935483871,0.043467409508202604,0.01,57.0,0.3886756896972656,0.001943378448486328
Tennessee,New Mexico State,45.80812380144408,1.0,0.6666976014773051,61.377064,13,7,16.3,-14.0,,,0,41.5,4.308123801444083,0.01,,,,0.0,60.0,1.3770637512207031,0.006885318756103515
Wake Forest,North Carolina,7.1690670711674365,0.8824449976285299,0.6033686598141988,39.550182,6,7,2.0,-4.8,,,0,3.5,3.6690670711674365,0.01,-170.0,0.6296296296296297,0.25281536799890025,0.01,37.5,2.050182342529297,0.01
Florida International,Liberty,-1.8267119835879602,0.5989356736342112,0.5191785395145416,53.8293,7,7,-13.6,-7.4,,,0,-2.5,0.6732880164120398,0.0033664400820601994,120.0,0.45454545454545453,0.14439021908875666,0.01,51.5,2.3292999267578125,0.01
Georgia Southern,Coastal Carolina,4.239460450309464,0.5996206998825073,0.5329274038473765,61.051117,8,7,-10.8,-8.9,,,0,3.0,1.2394604503094637,0.006197302251547319,-150.0,0.6,-0.0003793001174926536,0.0,59.5,1.551116943359375,0.007755584716796876
Sam Houston,Delaware,-7.780968455389521,0.3654220402240753,0.6125913262367249,57.210735,6,7,-25.1,-10.7,,,0,-11.5,3.7190315446104787,0.01,350.0,0.2222222222222222,0.1431998180018531,0.01,56.5,0.7107353210449219,0.0035536766052246095
Baylor,Utah,-14.69549841372881,0.050055780137578644,0.3447057902812958,58.87071,14,13,5.5,21.5,,,0,-9.5,-5.19549841372881,0.01,282.5,0.26143790849673204,-0.2113821283591534,0.0,60.5,-1.6292915344238281,0.008146457672119141
Ole Miss,Florida,9.276987993693114,0.7145823339621226,0.4625236590703328,52.087017,7,6,21.0,6.2,,,0,10.5,-1.2230120063068863,0.006115060031534432,-460.0,0.8214285714285714,-0.10684623746644883,0.0,53.5,-1.4129829406738281,0.007064914703369141
UNLV,Utah State,0.19345834514516724,0.504722515741984,0.3870168129603068,70.15313,6,6,1.6,-2.7,,,0,4.5,-4.306541654854833,0.01,-195.0,0.6610169491525424,-0.15629443341055838,0.0,68.5,1.6531295776367188,0.008265647888183594
Washington,Purdue,15.80896094842684,0.9152243137359619,0.5401014486948649,50.30497,7,7,14.8,-3.4,,,0,14.5,1.30896094842684,0.006544804742134201,-900.0,0.9,0.015224313735961892,0.01,51.5,-1.1950302124023438,0.005975151062011719
Georgia,Texas,2.0156541725725665,0.7447312275568644,0.46058644851048786,52.481575,7,14,20.2,18.3,,,0,3.5,-1.4843458274274335,0.007421729137137167,-190.0,0.6551724137931034,0.08955881376376096,0.01,50.5,1.9815750122070312,0.009907875061035156
Florida State,Virginia Tech,15.15645161814107,0.9536257783571879,0.5354422827561697,55.464455,7,14,11.5,-4.0,,,0,14.0,1.1564516181410696,0.005782258090705348,-575.0,0.8518518518518519,0.10177392650533601,0.01,55.0,0.46445465087890625,0.002322273254394531
Ohio State,UCLA,33.469032512820675,0.9703045686086019,0.5187048316001892,47.546833,7,6,30.5,-2.4,,,0,33.0,0.46903251282067515,0.002345162564103376,-13250.0,0.9925093632958801,-0.022204794687278206,0.0,46.5,1.0468330383300781,0.005234165191650391
Missouri,Mississippi State,7.732042040087997,0.7614305019378662,0.520850678284963,51.332607,7,7,15.4,6.5,,,0,7.0,0.7320420400879968,0.003660210200439984,-250.0,0.7142857142857143,0.04714478765215191,0.01,50.5,0.8326072692871094,0.004163036346435547
Jacksonville State,Kennesaw State,0.3876709758680015,0.4241827627023061,0.6022510727246603,55.186832,7,7,-8.0,-3.2,,,0,-3.5,3.8876709758680015,0.01,140.0,0.4166666666666667,0.007516096035639408,0.01,56.0,-0.8131675720214844,0.004065837860107422
Washington State,Louisiana Tech,7.936943394907022,0.6292437314987183,0.4453031321366628,48.187836,14,7,-1.6,0.5,,,0,10.0,-2.063056605092978,0.01,-410.0,0.803921568627451,-0.17467783712873275,0.0,43.5,4.687835693359375,0.01
BYU,TCU,3.241999738353878,0.8938548366228739,0.5068956514199575,48.75209,7,7,14.4,9.2,,,0,3.0,0.2419997383538779,0.0012099986917693895,-155.0,0.6078431372549019,0.286011699367972,0.01,51.5,-2.7479095458984375,0.01
Fresno State,Wyoming,2.6861491005707228,0.6489401658376058,0.4916533827781677,41.77255,14,14,-2.9,-5.8,,,0,3.0,-0.31385089942927724,0.0015692544971463863,-148.0,0.5967741935483871,0.05216597228921871,0.01,40.5,1.2725486755371094,0.006362743377685547
San Diego State,Boise State,-3.235411737802628,0.6651473244031271,0.3635343511899312,39.76538,6,14,3.7,4.6,,,0,2.0,-5.235411737802628,0.01,-125.0,0.5555555555555556,0.10959176884757149,0.01,41.5,-1.734619140625,0.008673095703125
