home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,dk_spread_home,fd_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Massachusetts,Bowling Green,-19.127412788350817,0.07253278171022733,0.34988989929358166,46.749043,6.0,6.0,-32.5,-15.5,,,0.0,14.5,14.5,14.5,-4.627412788350817,0.01,455.0,0.18018018018018017,-0.10764739846995285,0.0,44.5,2.249042510986328,0.01
Eastern Michigan,Western Michigan,-11.136680870203712,0.17796637117862701,0.3809233109156291,45.97943,10.0,7.0,-17.1,-6.0,,,0.0,7.5,7.5,7.5,-3.636680870203712,0.01,245.0,0.2898550724637681,-0.11188870128514111,0.0,46.5,-0.52056884765625,0.00260284423828125
Memphis,Navy,12.124532148685542,0.7085322936375936,0.7019310593605042,58.632725,12.0,12.0,11.0,2.2,,,0.0,-5.5,-5.5,-4.5,6.624532148685542,0.01,-205.0,0.6721311475409836,0.03640114609661005,0.01,58.5,0.13272476196289062,0.0006636238098144531
Mississippi State,Mississippi,-2.593644492105069,0.4226551155249278,0.6432636976242065,57.235188,,,,,,,,7.0,7.0,7.5,4.406355507894931,0.01,215.0,0.31746031746031744,0.10519479806461035,0.01,62.5,-5.264812469482422,0.01
Kansas,Utah,-13.028872180139834,0.17123057941595712,0.4493095278739929,52.867584,6.0,6.0,5.4,21.5,,,0.0,11.5,11.5,12.5,-1.5288721801398335,0.007644360900699167,360.0,0.21739130434782608,-0.04616072493186896,0.0,59.5,-6.632415771484375,0.01
Northern Illinois,Kent State,2.0857672602010267,0.6992823282877604,0.42633601029713947,49.425755,9.0,8.0,-17.7,-21.9,,,0.0,-4.5,-4.5,-4.5,-2.4142327397989733,0.01,-198.0,0.6644295302013423,0.03485279808641806,0.01,44.5,4.925754547119141,0.01
Nebraska,Iowa,-4.461065452681899,0.3607729822397232,0.5471165478229523,46.22286,6.0,6.0,12.3,17.2,,,0.0,6.0,6.0,6.5,1.5389345473181013,0.007694672736590507,195.0,0.3389830508474576,0.021789931392265594,0.01,38.5,7.722858428955078,0.01
Buffalo,Ohio,-1.9385229597311548,0.327454815308253,0.6514892975489298,47.55067,8.0,9.0,-4.7,-5.5,,,0.0,7.0,7.0,6.5,5.061477040268845,0.01,220.0,0.3125,0.014954815308252989,0.01,43.5,4.050670623779297,0.01
Colorado State,Air Force,-2.3593443307680566,0.39151477813720703,0.504488984743754,47.440727,6.0,5.0,-13.8,-3.8,,,0.0,2.5,2.5,2.5,0.1406556692319434,0.000703278346159717,120.0,0.45454545454545453,-0.0630306764082475,0.0,45.5,1.9407272338867188,0.009703636169433594
Georgia Tech,Georgia,-5.81612618525133,0.6368028521537781,0.7306268413861593,52.250084,6.0,6.0,10.5,20.2,,,0.0,13.5,13.5,13.5,7.68387381474867,0.0,440.0,0.18518518518518517,0.4516176669685929,0.01,59.5,-7.249916076660156,0.01
